accession,filename,url,assembly,file_format,file_format_type,output_type,output_category,dataset
ENCFF581ZEU,ENCFF581ZEU.tsv,https://www.encodeproject.org/files/ENCFF581ZEU/@@download/ENCFF581ZEU.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUJ/
ENCFF325KTI,ENCFF325KTI.tsv,https://www.encodeproject.org/files/ENCFF325KTI/@@download/ENCFF325KTI.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR797RXV/
ENCFF385POO,ENCFF385POO.tsv,https://www.encodeproject.org/files/ENCFF385POO/@@download/ENCFF385POO.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR982VYI/
ENCFF959PRH,ENCFF959PRH.tsv,https://www.encodeproject.org/files/ENCFF959PRH/@@download/ENCFF959PRH.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR637GBV/
ENCFF754JLJ,ENCFF754JLJ.tsv,https://www.encodeproject.org/files/ENCFF754JLJ/@@download/ENCFF754JLJ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR022MON/
ENCFF675TSE,ENCFF675TSE.tsv,https://www.encodeproject.org/files/ENCFF675TSE/@@download/ENCFF675TSE.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR056TWA/
ENCFF450WWX,ENCFF450WWX.tsv,https://www.encodeproject.org/files/ENCFF450WWX/@@download/ENCFF450WWX.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR056TWA/
ENCFF419GMY,ENCFF419GMY.tsv,https://www.encodeproject.org/files/ENCFF419GMY/@@download/ENCFF419GMY.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR166IFS/
ENCFF223ZUQ,ENCFF223ZUQ.tsv,https://www.encodeproject.org/files/ENCFF223ZUQ/@@download/ENCFF223ZUQ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CSS/
ENCFF291FIC,ENCFF291FIC.tsv,https://www.encodeproject.org/files/ENCFF291FIC/@@download/ENCFF291FIC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTF/
ENCFF608SNC,ENCFF608SNC.tsv,https://www.encodeproject.org/files/ENCFF608SNC/@@download/ENCFF608SNC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTG/
ENCFF654OLU,ENCFF654OLU.tsv,https://www.encodeproject.org/files/ENCFF654OLU/@@download/ENCFF654OLU.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CVJ/
ENCFF591ARC,ENCFF591ARC.tsv,https://www.encodeproject.org/files/ENCFF591ARC/@@download/ENCFF591ARC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUV/
ENCFF532XCI,ENCFF532XCI.tsv,https://www.encodeproject.org/files/ENCFF532XCI/@@download/ENCFF532XCI.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000AAO/
ENCFF412KNK,ENCFF412KNK.tsv,https://www.encodeproject.org/files/ENCFF412KNK/@@download/ENCFF412KNK.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CPM/
